trial,r_t0,r_t1,cp,obs_cp,epoch_number,reward_p_t0,m_image,f_image,iti,p_id_solution,epoch_trial,epoch_length
60,2.2972739750696443,0.0,0.0,1.0,3.0,0.25,m4~43-v1.tif,f4~46-v1.tif,6.807756658,109,4.0,22.0
61,0.0,2.9706093397237137,0.0,1.0,3.0,0.25,m4~43-v1.tif,f3~36-v1.tif,6.273675208999999,109,5.0,22.0
62,0.0,3.7224078703117964,0.0,0.0,3.0,0.25,m1~17-v1.tif,f5~54-v1.tif,8.249659815,109,6.0,22.0
63,0.0,4.082972086461357,0.0,0.0,3.0,0.25,m3~35-v1.tif,f2~21-v1.tif,9.379149067,109,7.0,22.0
64,0.0,1.3678516132560343,0.0,0.0,3.0,0.25,m4~47-v1.tif,f3~36-v1.tif,8.249659815,109,8.0,22.0
65,0.0,4.9781463253440545,0.0,0.0,3.0,0.25,m1~12-v1.tif,f3~36-v1.tif,6.996471843999999,109,9.0,22.0
66,0.0,2.89481077415975,0.0,0.0,3.0,0.25,m2~28-v1.tif,f5~51-v1.tif,6.629621234,109,10.0,22.0
67,0.0,2.6935369092179937,0.0,0.0,3.0,0.25,m4~43-v1.tif,f3~36-v1.tif,7.97484963,109,11.0,22.0
68,0.0,1.9789057084036097,0.0,0.0,3.0,0.25,m1~17-v1.tif,f5~54-v1.tif,9.176654878999999,109,12.0,22.0
69,0.0,0.8574976401570682,0.0,0.0,3.0,0.25,m2~29-v1.tif,f3~33-v1.tif,6.825359341,109,13.0,22.0
70,0.0,1.8128297247401535,0.0,0.0,3.0,0.25,m2~29-v1.tif,f3~31-v1.tif,6.807756658,109,14.0,22.0
71,0.0,3.2615585824190427,0.0,0.0,3.0,0.25,m4~42-v1.tif,f5~51-v1.tif,6.142144361000001,109,15.0,22.0
72,0.0,3.737852099158021,0.0,0.0,3.0,0.25,m1~15-v1.tif,f4~45-v1.tif,8.316670306,109,16.0,22.0
73,3.221906531275317,0.0,0.0,1.0,3.0,0.25,m2~27-v1.tif,f3~37-v1.tif,9.379149067,109,17.0,22.0
74,0.0,2.253426160476645,0.0,1.0,3.0,0.25,m1~15-v1.tif,f1~16-v1.tif,8.360017595,109,18.0,22.0
75,2.269836314183879,0.0,0.0,1.0,3.0,0.25,m3~36-v1.tif,f5~58-v1.tif,8.796708647,109,19.0,22.0
76,0.0,2.2898372070351187,0.0,1.0,3.0,0.25,m3~34-v1.tif,f5~56-v1.tif,6.551136357000001,109,20.0,22.0
77,0.0,2.678507407890257,0.0,0.0,3.0,0.25,m2~29-v1.tif,f5~51-v1.tif,6.351721297,109,21.0,22.0
