trial,r_t0,r_t1,cp,obs_cp,epoch_number,reward_p_t0,m_image,f_image,iti,p_id_solution,epoch_trial,epoch_length
120,0.0,2.2233278859649106,0.0,0.0,9.0,0.25,m1~12-v1.tif,f2~22-v1.tif,7.917573315960222,109,8.0,13.0
121,0.0,2.8719061989605463,0.0,0.0,9.0,0.25,m3~35-v1.tif,f3~36-v1.tif,7.083739510484073,109,9.0,13.0
122,0.0,3.9972256374762907,0.0,0.0,9.0,0.25,m2~24-v1.tif,f1~16-v1.tif,8.306186267541833,109,10.0,13.0
123,0.0,1.517662544884815,0.0,0.0,9.0,0.25,m4~47-v1.tif,f5~56-v1.tif,6.782824699586099,109,11.0,13.0
124,0.0,1.910869759882009,0.0,0.0,9.0,0.25,m2~27-v1.tif,f3~31-v1.tif,7.669207932868687,109,12.0,13.0
125,4.872122522950929,0.0,1.0,1.0,10.0,0.75,m4~410-v1.tif,f1~16-v1.tif,8.38186794904267,102,0.0,10.0
126,3.1688642803280103,0.0,0.0,0.0,10.0,0.75,m1~19-v1.tif,f1~12-v1.tif,8.16203309341838,102,1.0,10.0
127,2.0786293393868336,0.0,0.0,0.0,10.0,0.75,m2~28-v1.tif,f4~45-v1.tif,6.938899054891565,102,2.0,10.0
128,4.082139303378389,0.0,0.0,0.0,10.0,0.75,m4~48-v1.tif,f2~22-v1.tif,6.5304578553492645,102,3.0,10.0
129,3.4805866966384547,0.0,0.0,0.0,10.0,0.75,m2~27-v1.tif,f4~43-v1.tif,7.194107447750139,102,4.0,10.0
130,3.6448535659461894,0.0,0.0,0.0,10.0,0.75,m5~53-v1.tif,f2~22-v1.tif,9.085202685899677,102,5.0,10.0
131,3.9580234205539897,0.0,0.0,0.0,10.0,0.75,m1~15-v1.tif,f4~43-v1.tif,8.524752470977544,102,6.0,10.0
132,3.0187495458117617,0.0,0.0,0.0,10.0,0.75,m1~12-v1.tif,f5~59-v1.tif,6.897323770438542,102,7.0,10.0
133,2.1708167654802772,0.0,0.0,0.0,10.0,0.75,m2~28-v1.tif,f1~12-v1.tif,7.347886152404763,102,8.0,10.0
134,3.2344632152384674,0.0,0.0,0.0,10.0,0.75,m4~42-v1.tif,f5~59-v1.tif,7.588155595452296,102,9.0,10.0
