trial,r_t0,r_t1,cp,obs_cp,epoch_number,reward_p_t0,m_image,f_image,iti,p_id_solution,epoch_trial,epoch_length
120,0,1.470859258,0,1,7,0.25,m2~28-v1.tif,f3~31-v1.tif,6.830602832,109,23,28
121,0,3.990203708,0,0,7,0.25,m5~53-v1.tif,f1~11-v1.tif,6.510286276,109,24,28
122,0,2.489792519,0,0,7,0.25,m2~27-v1.tif,f3~36-v1.tif,9.176654879,109,25,28
123,0,3.498445814,0,0,7,0.25,m5~52-v1.tif,f3~36-v1.tif,9.379149067,109,26,28
124,0,1.375651425,0,0,7,0.25,m2~27-v1.tif,f1~16-v1.tif,8.249659815,109,27,28
125,2.8431795,0,1,1,8,0.75,m1~19-v1.tif,f2~22-v1.tif,8.106125764,102,0,16
126,2.577124738,0,0,0,8,0.75,m4~47-v1.tif,f4~43-v1.tif,6.351721297,102,1,16
127,0,3.54629367,0,1,8,0.75,m3~34-v1.tif,f2~26-v1.tif,6.394658274,102,2,16
128,1.314770167,0,0,1,8,0.75,m4~48-v1.tif,f1~16-v1.tif,6.118962945,102,3,16
129,2.227533931,0,0,0,8,0.75,m3~35-v1.tif,f2~21-v1.tif,8.225208136,102,4,16
130,2.417672088,0,0,0,8,0.75,m2~28-v1.tif,f2~21-v1.tif,6.317521856,102,5,16
131,0,1.566118107,0,1,8,0.75,m4~43-v1.tif,f3~37-v1.tif,7.028919838,102,6,16
132,0,3.123706386,0,0,8,0.75,m2~29-v1.tif,f4~43-v1.tif,7.501984415,102,7,16
133,3.542966856,0,0,1,8,0.75,m3~34-v1.tif,f2~22-v1.tif,8.342266416,102,8,16
134,1.814979041,0,0,0,8,0.75,m4~47-v1.tif,f5~58-v1.tif,6.807756658,102,9,16
135,0,2.502594719,0,1,8,0.75,m1~12-v1.tif,f5~56-v1.tif,8.796708647,102,10,16
136,2.609245254,0,0,1,8,0.75,m1~15-v1.tif,f5~51-v1.tif,6.660214379,102,11,16
137,3.143879133,0,0,0,8,0.75,m4~42-v1.tif,f3~37-v1.tif,9.794354736,102,12,16
138,0,4.210922994,0,1,8,0.75,m4~42-v1.tif,f2~21-v1.tif,6.830287768,102,13,16
139,0,3.55461563,0,0,8,0.75,m3~35-v1.tif,f3~33-v1.tif,6.629621234,102,14,16
140,0,4.510368206,0,0,8,0.75,m1~15-v1.tif,f1~16-v1.tif,6.737836669,102,15,16
141,0,2.277274167,1,0,9,0.25,m4~47-v1.tif,f5~51-v1.tif,6.214641238,109,0,22
142,3.426964911,0,0,1,9,0.25,m1~12-v1.tif,f2~26-v1.tif,6.253368926,109,1,22
143,0,4.70453411,0,1,9,0.25,m2~28-v1.tif,f2~26-v1.tif,7.115323056,109,2,22
144,0,1.619777903,0,0,9,0.25,m4~410-v1.tif,f3~36-v1.tif,7.217684582,109,3,22
145,0,2.646729096,0,0,9,0.25,m4~47-v1.tif,f3~31-v1.tif,6.197338695,109,4,22
146,0,2.521811808,0,0,9,0.25,m5~53-v1.tif,f5~56-v1.tif,7.521907167,109,5,22
147,0,2.730988112,0,0,9,0.25,m3~34-v1.tif,f5~59-v1.tif,7.186002987,109,6,22
148,0,3.768843631,0,0,9,0.25,m2~27-v1.tif,f5~51-v1.tif,7.833443911,109,7,22
149,0,2.403742455,0,0,9,0.25,m1~15-v1.tif,f2~26-v1.tif,6.551136357,109,8,22
150,0,2.363277193,0,0,9,0.25,m1~15-v1.tif,f3~36-v1.tif,6.825359341,109,9,22
151,3.224054512,0,0,1,9,0.25,m3~35-v1.tif,f5~58-v1.tif,7.966205196,109,10,22
152,0,2.776720267,0,1,9,0.25,m5~53-v1.tif,f3~37-v1.tif,8.316670306,109,11,22
153,4.128401304,0,0,1,9,0.25,m2~27-v1.tif,f4~46-v1.tif,6.599690266,109,12,22
154,3.573963039,0,0,0,9,0.25,m5~52-v1.tif,f4~43-v1.tif,6.142144361,109,13,22
155,0,4.525437276,0,1,9,0.25,m5~53-v1.tif,f5~56-v1.tif,6.996471844,109,14,22
156,0,2.161035647,0,0,9,0.25,m5~52-v1.tif,f3~33-v1.tif,7.37655801,109,15,22
157,0,1.332154027,0,0,9,0.25,m4~47-v1.tif,f3~37-v1.tif,6.198782993,109,16,22
158,0,2.558727148,0,0,9,0.25,m2~29-v1.tif,f5~59-v1.tif,6.823616603,109,17,22
159,0,3.055991196,0,0,9,0.25,m5~52-v1.tif,f3~37-v1.tif,7.023105083,109,18,22
160,0,3.305366808,0,0,9,0.25,m5~51-v1.tif,f2~21-v1.tif,7.97484963,109,19,22
161,0,2.827811383,0,0,9,0.25,m4~410-v1.tif,f3~35-v1.tif,8.33580511,109,20,22
162,0,4.731015703,0,0,9,0.25,m1~19-v1.tif,f4~46-v1.tif,6.763984022,109,21,22
163,3.417709132,0,1,1,10,0.75,m1~18-v1.tif,f5~54-v1.tif,8.482623584,102,0,21
164,3.203697014,0,0,0,10,0.75,m4~47-v1.tif,f2~21-v1.tif,7.718719605,102,1,21
165,0,3.847606937,0,1,10,0.75,m2~28-v1.tif,f1~16-v1.tif,8.637534138,102,2,21
166,3.471728565,0,0,1,10,0.75,m4~48-v1.tif,f2~22-v1.tif,7.401030339,102,3,21
167,0,4.560114329,0,1,10,0.75,m2~28-v1.tif,f2~26-v1.tif,9.623171909,102,4,21
168,2.704386499,0,0,1,10,0.75,m2~24-v1.tif,f5~56-v1.tif,6.273675209,102,5,21
169,4.655949679,0,0,0,10,0.75,m2~27-v1.tif,f4~43-v1.tif,8.360017595,102,6,21
170,1.279171373,0,0,0,10,0.75,m4~42-v1.tif,f2~26-v1.tif,6.532901353,102,7,21
171,2.557907205,0,0,0,10,0.75,m2~29-v1.tif,f1~12-v1.tif,6.161457564,102,8,21
172,1.661798334,0,0,0,10,0.75,m2~29-v1.tif,f4~43-v1.tif,7.680859048,102,9,21
173,2.532234069,0,0,0,10,0.75,m2~24-v1.tif,f3~36-v1.tif,8.778043003,102,10,21
174,3.382297694,0,0,0,10,0.75,m5~53-v1.tif,f4~46-v1.tif,6.636062481,102,11,21
175,3.842370183,0,0,0,10,0.75,m3~34-v1.tif,f3~37-v1.tif,9.319084644,102,12,21
176,3.037212336,0,0,0,10,0.75,m1~12-v1.tif,f5~56-v1.tif,6.553907212,102,13,21
177,5.471435432,0,0,0,10,0.75,m1~19-v1.tif,f3~33-v1.tif,6.206747957,102,14,21
178,5.279881604,0,0,0,10,0.75,m4~42-v1.tif,f2~22-v1.tif,9.297171513,102,15,21
179,2.3489349,0,0,0,10,0.75,m2~29-v1.tif,f4~43-v1.tif,6.645541148,102,16,21
