reward_arm1,reward_arm2,run,trial,reward_delta,high_val_arm,m_image,f_image,ITI
38,51,1,0,-13,2,m1~17-v1.tif,f1~11-v1.tif,4.360901765782156
38,56,1,1,-18,2,m1~17-v1.tif,f1~11-v1.tif,5.327285173323594
41,55,1,2,-14,2,m1~17-v1.tif,f1~11-v1.tif,7.672523362456338
45,57,1,3,-12,2,m1~17-v1.tif,f1~11-v1.tif,5.180514786205396
44,53,1,4,-9,2,m1~17-v1.tif,f1~11-v1.tif,6.725370522630158
44,58,1,5,-14,2,m1~17-v1.tif,f1~11-v1.tif,6.024734334603541
46,58,1,6,-12,2,m1~17-v1.tif,f1~11-v1.tif,4.078104234745389
48,54,1,7,-6,2,m1~17-v1.tif,f1~11-v1.tif,7.833612019507511
47,55,1,8,-8,2,m1~17-v1.tif,f1~11-v1.tif,8.946491552554987
45,49,1,9,-4,2,m1~17-v1.tif,f1~11-v1.tif,5.094390009983886
41,57,1,10,-16,2,m1~17-v1.tif,f1~11-v1.tif,7.934907275504053
46,52,1,11,-6,2,m1~17-v1.tif,f1~11-v1.tif,4.61528773213214
42,49,1,12,-7,2,m1~17-v1.tif,f1~11-v1.tif,5.940095870376359
47,57,1,13,-10,2,m1~17-v1.tif,f1~11-v1.tif,8.493910877444554
49,53,1,14,-4,2,m1~17-v1.tif,f1~11-v1.tif,5.649349188051559
48,51,1,15,-3,2,m1~17-v1.tif,f1~11-v1.tif,4.523167360181978
50,48,1,16,2,1,m1~17-v1.tif,f1~11-v1.tif,5.44792362312755
57,50,1,17,7,1,m1~17-v1.tif,f1~11-v1.tif,4.308404988623098
57,52,1,18,5,1,m1~17-v1.tif,f1~11-v1.tif,4.118458684116573
58,54,1,19,4,1,m1~17-v1.tif,f1~11-v1.tif,5.5268426260374905
56,55,1,20,1,1,m1~17-v1.tif,f1~11-v1.tif,5.183932858668088
58,57,1,21,1,1,m1~17-v1.tif,f1~11-v1.tif,5.88761742792161
60,60,1,22,0,1,m1~17-v1.tif,f1~11-v1.tif,5.010077937800967
55,58,1,23,-3,2,m1~17-v1.tif,f1~11-v1.tif,5.169793613020303
60,62,1,24,-2,2,m1~17-v1.tif,f1~11-v1.tif,5.470097363064168
63,61,1,25,2,1,m1~17-v1.tif,f1~11-v1.tif,4.296582866443715
62,61,1,26,1,1,m1~17-v1.tif,f1~11-v1.tif,4.9118107082062314
53,65,1,27,-12,2,m1~17-v1.tif,f1~11-v1.tif,5.355388762692411
55,68,1,28,-13,2,m1~17-v1.tif,f1~11-v1.tif,4.00916903375415
54,71,1,29,-17,2,m1~17-v1.tif,f1~11-v1.tif,10.226006020924627
62,72,1,30,-10,2,m1~17-v1.tif,f1~11-v1.tif,12.073788551043144
66,67,1,31,-1,2,m1~17-v1.tif,f1~11-v1.tif,4.000399023272122
63,62,1,32,1,1,m1~17-v1.tif,f1~11-v1.tif,5.598623687005365
66,53,1,33,13,1,m1~17-v1.tif,f1~11-v1.tif,7.558424643957061
65,53,1,34,12,1,m1~17-v1.tif,f1~11-v1.tif,7.343613899822548
70,53,1,35,17,1,m1~17-v1.tif,f1~11-v1.tif,5.6612307746465085
68,59,1,36,9,1,m1~17-v1.tif,f1~11-v1.tif,4.0867888154187675
62,58,1,37,4,1,m1~17-v1.tif,f1~11-v1.tif,11.947108526250911
55,57,1,38,-2,2,m1~17-v1.tif,f1~11-v1.tif,7.116630146040812
52,59,1,39,-7,2,m1~17-v1.tif,f1~11-v1.tif,4.785285633328315
50,57,1,40,-7,2,m1~17-v1.tif,f1~11-v1.tif,4.889809840254774
47,64,1,41,-17,2,m1~17-v1.tif,f1~11-v1.tif,5.600704099808396
44,61,1,42,-17,2,m1~17-v1.tif,f1~11-v1.tif,5.971825147954057
48,59,1,43,-11,2,m1~17-v1.tif,f1~11-v1.tif,8.809362388557993
41,58,1,44,-17,2,m1~17-v1.tif,f1~11-v1.tif,7.896100060591049
42,55,1,45,-13,2,m1~17-v1.tif,f1~11-v1.tif,12.42926336196004
35,56,1,46,-21,2,m1~17-v1.tif,f1~11-v1.tif,6.954532991685593
33,60,1,47,-27,2,m1~17-v1.tif,f1~11-v1.tif,4.874765835123022
28,57,1,48,-29,2,m1~17-v1.tif,f1~11-v1.tif,4.704891046483474
37,61,1,49,-24,2,m1~17-v1.tif,f1~11-v1.tif,4.885106219221224
40,66,1,50,-26,2,m1~17-v1.tif,f1~11-v1.tif,4.069312228782483
36,62,1,51,-26,2,m1~17-v1.tif,f1~11-v1.tif,9.959580260471338
44,58,1,52,-14,2,m1~17-v1.tif,f1~11-v1.tif,5.195033589514214
46,63,1,53,-17,2,m1~17-v1.tif,f1~11-v1.tif,7.191242837208293
35,67,1,54,-32,2,m1~17-v1.tif,f1~11-v1.tif,5.352008989726137
34,67,1,55,-33,2,m1~17-v1.tif,f1~11-v1.tif,4.247665509213261
42,72,1,56,-30,2,m1~17-v1.tif,f1~11-v1.tif,6.1623974109218596
40,72,1,57,-32,2,m1~17-v1.tif,f1~11-v1.tif,7.668024167852434
44,71,1,58,-27,2,m1~17-v1.tif,f1~11-v1.tif,9.132624351624795
42,68,1,59,-26,2,m1~17-v1.tif,f1~11-v1.tif,6.985812146564963
