trial,r_t0,r_t1,cp,obs_cp,epoch_number,reward_p_t0,m_image,f_image,iti,p_id_solution,epoch_trial,epoch_length
0,2.942796920756301,0.0,1.0,0.0,0.0,0.95,m2~29-v1.tif,f2~26-v1.tif,4.6889834329737905,102,0.0,8.0
1,3.999421090075887,0.0,0.0,0.0,0.0,0.95,m2~24-v1.tif,f3~35-v1.tif,4.960297807051773,102,1.0,8.0
2,2.5743500350411566,0.0,0.0,0.0,0.0,0.95,m4~42-v1.tif,f2~26-v1.tif,8.880872065325168,102,2.0,8.0
3,1.616462694579244,0.0,0.0,0.0,0.0,0.95,m5~53-v1.tif,f1~11-v1.tif,6.3453273126307215,102,3.0,8.0
4,3.6915024478355383,0.0,0.0,0.0,0.0,0.95,m3~35-v1.tif,f3~35-v1.tif,4.634671697143777,102,4.0,8.0
5,2.141973084696004,0.0,0.0,0.0,0.0,0.95,m5~53-v1.tif,f2~21-v1.tif,8.43547698686454,102,5.0,8.0
6,3.733962038238492,0.0,0.0,0.0,0.0,0.95,m1~17-v1.tif,f3~31-v1.tif,9.643521095356554,102,6.0,8.0
7,3.8978335416857854,0.0,0.0,0.0,0.0,0.95,m2~26-v1.tif,f5~56-v1.tif,8.828972413731261,102,7.0,8.0
8,0.0,3.371301257768914,1.0,1.0,1.0,0.050000000000000044,m3~36-v1.tif,f5~51-v1.tif,8.253554492842927,109,0.0,11.0
9,0.0,4.544067283782631,0.0,0.0,1.0,0.050000000000000044,m3~36-v1.tif,f1~11-v1.tif,5.984196452310847,109,1.0,11.0
10,0.0,3.4696229834489136,0.0,0.0,1.0,0.050000000000000044,m1~15-v1.tif,f2~26-v1.tif,5.8969112796344865,109,2.0,11.0
11,0.0,0.2403085091886612,0.0,0.0,1.0,0.050000000000000044,m2~28-v1.tif,f2~26-v1.tif,15.164467571890283,109,3.0,11.0
12,0.0,3.552164932510848,0.0,0.0,1.0,0.050000000000000044,m3~34-v1.tif,f4~45-v1.tif,4.232527508197829,109,4.0,11.0
13,0.0,5.066497912917717,0.0,0.0,1.0,0.050000000000000044,m4~43-v1.tif,f3~36-v1.tif,4.293487705384246,109,5.0,11.0
14,0.0,2.404218155575815,0.0,0.0,1.0,0.050000000000000044,m1~12-v1.tif,f1~11-v1.tif,4.8815605270297775,109,6.0,11.0
15,0.0,3.2030534044185677,0.0,0.0,1.0,0.050000000000000044,m2~26-v1.tif,f3~36-v1.tif,5.551396645861873,109,7.0,11.0
16,0.0,3.023049869408824,0.0,0.0,1.0,0.050000000000000044,m2~29-v1.tif,f3~33-v1.tif,4.276690338152384,109,8.0,11.0
17,0.0,2.500559849021697,0.0,0.0,1.0,0.050000000000000044,m4~43-v1.tif,f3~35-v1.tif,5.939375308295648,109,9.0,11.0
18,0.0,5.426730708190792,0.0,0.0,1.0,0.050000000000000044,m1~18-v1.tif,f1~16-v1.tif,7.878476377270742,109,10.0,11.0
19,3.3848809185775433,0.0,1.0,1.0,2.0,0.95,m2~29-v1.tif,f3~36-v1.tif,5.096116537730761,102,0.0,7.0
20,2.988601844540536,0.0,0.0,0.0,2.0,0.95,m4~43-v1.tif,f2~21-v1.tif,11.945210545238005,102,1.0,7.0
21,1.6434099452295734,0.0,0.0,0.0,2.0,0.95,m3~35-v1.tif,f3~37-v1.tif,4.7966653712606515,102,2.0,7.0
22,3.171821484681002,0.0,0.0,0.0,2.0,0.95,m4~42-v1.tif,f1~16-v1.tif,5.532757960127636,102,3.0,7.0
23,1.6315408952521318,0.0,0.0,0.0,2.0,0.95,m3~35-v1.tif,f5~59-v1.tif,7.26667484749029,102,4.0,7.0
24,2.574842476947957,0.0,0.0,0.0,2.0,0.95,m3~34-v1.tif,f5~56-v1.tif,6.874153524698571,102,5.0,7.0
25,3.5672215394398723,0.0,0.0,0.0,2.0,0.95,m4~47-v1.tif,f4~43-v1.tif,5.123259552525245,102,6.0,7.0
26,0.0,2.208237855566215,1.0,1.0,3.0,0.050000000000000044,m2~29-v1.tif,f5~59-v1.tif,4.9478350204513974,109,0.0,9.0
27,0.0,1.2175684139878402,0.0,0.0,3.0,0.050000000000000044,m4~43-v1.tif,f3~33-v1.tif,7.249306546971617,109,1.0,9.0
28,0.0,3.492827894410451,0.0,0.0,3.0,0.050000000000000044,m2~24-v1.tif,f1~12-v1.tif,4.296627748585657,109,2.0,9.0
29,0.0,2.6029830684153885,0.0,0.0,3.0,0.050000000000000044,m5~53-v1.tif,f2~26-v1.tif,4.278089296397091,109,3.0,9.0
30,0.0,2.7252348513225026,0.0,0.0,3.0,0.050000000000000044,m2~26-v1.tif,f5~59-v1.tif,4.389144115613176,109,4.0,9.0
31,0.0,3.9263304688178,0.0,0.0,3.0,0.050000000000000044,m5~52-v1.tif,f3~35-v1.tif,7.060298492039554,109,5.0,9.0
32,0.0,3.7027208465717316,0.0,0.0,3.0,0.050000000000000044,m2~29-v1.tif,f5~59-v1.tif,4.452453175818396,109,6.0,9.0
33,0.0,2.880700426621701,0.0,0.0,3.0,0.050000000000000044,m2~26-v1.tif,f3~37-v1.tif,7.4180085327834515,109,7.0,9.0
