trial,m_image,f_image,p_id_solution,iti
0,m1~15-v1.tif,f4~46-v1.tif,102,1.0528154084252213
1,m2~29-v1.tif,f5~56-v1.tif,102,1.0997083447452431
2,m1~18-v1.tif,f5~59-v1.tif,102,1.0965680141218566
3,m2~28-v1.tif,f3~36-v1.tif,102,1.369502701932443
4,m3~34-v1.tif,f3~35-v1.tif,102,1.076284185831855
5,m2~26-v1.tif,f2~22-v1.tif,102,1.3486145683334998
6,m1~12-v1.tif,f5~59-v1.tif,102,1.1880293153994028
7,m4~43-v1.tif,f1~16-v1.tif,102,1.2250950755628394
8,m4~43-v1.tif,f5~51-v1.tif,102,1.0122700483408886
9,m5~51-v1.tif,f3~37-v1.tif,102,1.2402003093194307
10,m5~51-v1.tif,f3~33-v1.tif,102,1.317461133044341
11,m2~27-v1.tif,f3~33-v1.tif,102,1.0174893650062546
12,m5~53-v1.tif,f3~33-v1.tif,102,1.032470352166892
13,m2~26-v1.tif,f4~45-v1.tif,102,1.0367937280529984
14,m3~34-v1.tif,f4~45-v1.tif,102,1.052531229885947
15,m4~42-v1.tif,f3~31-v1.tif,102,1.2280264900167013
16,m1~18-v1.tif,f3~36-v1.tif,102,1.3235548054195598
17,m4~47-v1.tif,f4~45-v1.tif,102,1.168752105992454
18,m4~42-v1.tif,f5~59-v1.tif,102,1.3364143535419089
19,m4~410-v1.tif,f3~33-v1.tif,102,1.1533815330371455
20,m1~15-v1.tif,f5~54-v1.tif,102,1.201037043844566
21,m4~42-v1.tif,f3~36-v1.tif,102,1.2151028379854365
22,m1~19-v1.tif,f3~35-v1.tif,102,1.0403859475924766
23,m1~18-v1.tif,f3~36-v1.tif,102,1.2338599702991213
24,m1~17-v1.tif,f2~22-v1.tif,102,1.0703500075087526
25,m2~29-v1.tif,f3~36-v1.tif,102,1.4838091969100609
26,m2~24-v1.tif,f3~31-v1.tif,102,1.2482819168757016
27,m1~12-v1.tif,f4~45-v1.tif,102,1.2287319158466057
28,m4~42-v1.tif,f5~58-v1.tif,102,1.455720839813049
29,m1~17-v1.tif,f4~46-v1.tif,102,1.1610975523812115
30,m4~43-v1.tif,f1~12-v1.tif,102,1.4276743093760031
31,m5~52-v1.tif,f3~33-v1.tif,102,1.3895442165686438
32,m2~26-v1.tif,f3~31-v1.tif,102,1.3702430204352625
33,m1~15-v1.tif,f5~54-v1.tif,102,1.4392033308201286
34,m2~29-v1.tif,f3~31-v1.tif,102,1.2134694497765537
35,m4~48-v1.tif,f5~59-v1.tif,102,1.1647109816602994
36,m2~28-v1.tif,f5~59-v1.tif,102,1.1893420152456597
37,m3~34-v1.tif,f4~46-v1.tif,102,1.0882258232854125
38,m4~42-v1.tif,f2~22-v1.tif,102,1.218441125333383
39,m1~18-v1.tif,f5~51-v1.tif,102,1.1773796867715336
40,m4~42-v1.tif,f5~51-v1.tif,102,1.424872880915888
41,m5~53-v1.tif,f1~12-v1.tif,102,1.2143899994443406
42,m1~15-v1.tif,f3~37-v1.tif,102,1.062828778022449
43,m2~26-v1.tif,f5~54-v1.tif,102,1.0958119361859546
44,m2~24-v1.tif,f3~31-v1.tif,102,1.0501574568969414
45,m3~36-v1.tif,f5~56-v1.tif,102,1.306770564709269
46,m2~27-v1.tif,f3~31-v1.tif,102,1.4118029495350575
47,m1~12-v1.tif,f3~33-v1.tif,102,1.1809400533520025
48,m3~36-v1.tif,f1~16-v1.tif,102,1.2259514141603507
49,m2~27-v1.tif,f3~31-v1.tif,102,1.2445924868350546
50,m3~36-v1.tif,f5~59-v1.tif,102,1.220400526473444
51,m3~35-v1.tif,f3~36-v1.tif,102,1.115395967403802
