trial,m_image,f_image,p_id_solution,iti
0,m4~48-v1.tif,f1~16-v1.tif,102,1.229251458990175
1,m5~53-v1.tif,f3~31-v1.tif,102,1.3357733298095762
2,m1~15-v1.tif,f5~51-v1.tif,102,1.4271705026751307
3,m4~47-v1.tif,f5~56-v1.tif,102,1.3839699527267642
4,m5~51-v1.tif,f4~45-v1.tif,102,1.0450668020946992
5,m4~48-v1.tif,f4~43-v1.tif,102,1.4239370897360242
6,m1~19-v1.tif,f4~43-v1.tif,102,1.12743141184755
7,m4~43-v1.tif,f1~12-v1.tif,102,1.4541140401787236
8,m1~18-v1.tif,f3~31-v1.tif,102,1.0773486426393932
9,m1~19-v1.tif,f4~46-v1.tif,102,1.412346727231428
10,m2~29-v1.tif,f2~26-v1.tif,102,1.387710668633285
11,m1~15-v1.tif,f3~37-v1.tif,102,1.2573219380599256
12,m4~47-v1.tif,f1~11-v1.tif,102,1.2768862588172722
13,m1~18-v1.tif,f5~58-v1.tif,102,1.0164892482022228
14,m5~51-v1.tif,f2~22-v1.tif,102,1.1688986925429858
15,m1~15-v1.tif,f3~37-v1.tif,102,1.0548599506958019
16,m3~36-v1.tif,f2~26-v1.tif,102,1.0646432364356089
17,m4~410-v1.tif,f3~33-v1.tif,102,1.454117846410933
18,m3~36-v1.tif,f2~26-v1.tif,102,1.3274089587700297
19,m1~12-v1.tif,f4~45-v1.tif,102,1.1258542215787262
20,m2~29-v1.tif,f5~59-v1.tif,102,1.3655428295328562
21,m1~15-v1.tif,f5~59-v1.tif,102,1.0194174246720547
22,m1~18-v1.tif,f5~56-v1.tif,102,1.2189807911789372
23,m2~27-v1.tif,f3~37-v1.tif,102,1.3687138221411088
24,m2~28-v1.tif,f1~16-v1.tif,102,1.146727522381462
25,m4~48-v1.tif,f4~46-v1.tif,102,1.468613086456278
26,m1~15-v1.tif,f2~26-v1.tif,102,1.2615369550666933
27,m2~28-v1.tif,f4~45-v1.tif,102,1.3570158027971033
28,m4~43-v1.tif,f3~36-v1.tif,102,1.090709332248296
29,m2~28-v1.tif,f5~54-v1.tif,102,1.2523740477479204
