trial,m_image,f_image,p_id_solution,iti
0,m1~19-v1.tif,f1~12-v1.tif,102,1.4476987227805087
1,m1~12-v1.tif,f3~31-v1.tif,102,1.4582224291291799
2,m3~36-v1.tif,f3~31-v1.tif,102,1.2516971909508459
3,m3~36-v1.tif,f5~58-v1.tif,102,1.4071156020554416
4,m1~17-v1.tif,f2~22-v1.tif,102,1.2295561039089407
5,m4~410-v1.tif,f3~35-v1.tif,102,1.2887747758344292
6,m1~12-v1.tif,f5~58-v1.tif,102,1.3653362005801168
7,m4~48-v1.tif,f1~12-v1.tif,102,1.4166728697320863
8,m2~24-v1.tif,f4~46-v1.tif,102,1.237728885129337
9,m5~51-v1.tif,f3~37-v1.tif,102,1.1345528572423593
10,m5~51-v1.tif,f3~35-v1.tif,102,1.229164401396182
11,m1~17-v1.tif,f5~51-v1.tif,102,1.2385110342337522
12,m1~15-v1.tif,f4~43-v1.tif,102,1.2752137275981656
13,m4~410-v1.tif,f1~16-v1.tif,102,1.43243331779521
14,m4~410-v1.tif,f2~26-v1.tif,102,1.0734377682653118
15,m2~24-v1.tif,f4~46-v1.tif,102,1.1867753949990165
16,m4~42-v1.tif,f3~36-v1.tif,102,1.3199875303475472
17,m4~48-v1.tif,f3~36-v1.tif,102,1.1404293702287491
18,m1~15-v1.tif,f4~45-v1.tif,102,1.299639755820721
19,m3~36-v1.tif,f5~59-v1.tif,102,1.485410592287823
20,m4~47-v1.tif,f1~16-v1.tif,102,1.0069515584881081
21,m2~29-v1.tif,f5~56-v1.tif,102,1.020357102257143
22,m1~12-v1.tif,f4~46-v1.tif,102,1.0784378665960304
23,m5~52-v1.tif,f1~12-v1.tif,102,1.2866421548072573
24,m3~36-v1.tif,f2~22-v1.tif,102,1.3084071888174307
25,m2~29-v1.tif,f5~59-v1.tif,102,1.3410687257238227
26,m4~42-v1.tif,f5~51-v1.tif,102,1.4218717991545917
27,m4~410-v1.tif,f5~59-v1.tif,102,1.2205576096409452
